date,ts_code,rank,score,forward_return,momentum_5d,momentum_20d,volatility_20d,volume_ratio,ma20_deviation,atr_ratio
20251208,603122.SH,1,71.0045032881225,-8.16,25.559380378657504,123.77300613496934,118.42027307237477,0.8523803636166309,32.20070223128329,9.348379516302751
20251208,301136.SZ,2,67.32621809813224,-8.41,57.65060240963855,78.51296043656208,132.98273445063302,1.64252761092476,50.57104226000406,10.0032752879524
20251208,603778.SH,3,66.72679507462522,-12.37,4.0000000000000036,128.22719449225474,112.95437635895829,1.1447045030359742,35.492770653451174,8.026287438052144
20251208,300427.SZ,4,64.55649695177223,6.71,44.305239179954455,78.70239774330044,141.83248973438916,1.1040807105013455,43.10724572203082,8.394407486751607
20251208,688227.SH,5,62.816417887101075,-6.41,-7.873235949492452,114.34331797235022,145.4290806751078,1.1862519749789495,25.891278789467886,10.497370138595615
20251208,000078.SZ,6,62.16815285810957,-19.84,37.4331550802139,96.93486590038314,84.79802685111513,2.298921326465075,56.34980988593155,6.072818232351306
20251208,688048.SH,7,60.804050035990045,-2.68,32.74921770227983,71.25720876585926,148.50392833933589,0.970446826741625,50.72428459765914,7.67539639778325
20251208,301148.SZ,8,53.65056533358838,-18.0,42.381432896064574,62.65129682997117,105.55251604632159,2.870168653190055,46.80712706463779,7.130201478181632
20251208,301183.SZ,9,51.64951101399334,4.84,37.034563366171305,51.981481481481474,124.9929982587131,1.3387530879349365,50.644511442429895,6.815610367456354
20251208,300300.SZ,10,51.364887935902,-4.76,13.591635916359145,50.16260162601625,182.25330956947425,0.9979017118506152,27.392488878159792,13.411710109057159
20251209,300427.SZ,1,69.03615012152017,4.86,44.336569579288046,90.59829059829063,141.11629531963175,1.209619464158308,45.88671427792621,8.1411488362161
20251209,301136.SZ,2,65.26884972137319,-17.66,35.34136546184739,89.32584269662922,131.016420389725,1.6526150638747574,49.640607221158376,10.57916490038152
20251209,688227.SH,3,62.43677706135436,-9.01,-0.013696753869341105,108.63103743926837,146.58881677082013,1.0779811842512645,19.642710808817498,11.017612524461839
20251209,603778.SH,4,56.72373415804502,-8.12,-0.3813882532417878,104.38184663536778,112.85751974278186,0.9774748380214626,29.051383399209474,7.93590024064756
20251209,688048.SH,5,56.72191430065637,0.38,27.800904977375573,65.16959064327486,150.4217840177124,1.0188899883108005,39.411828583274925,8.122584822060816
